type,time,channel,note,velocity,pitch 
note_on,4.529014825820923,2,58,127,
note_off,4.549511909484863,1,61,64,
pitchwheel,4.577489852905273,2,,,-329
pitchwheel,4.600353002548218,5,,,-31
note_on,4.600733995437622,5,40,121,
pitchwheel,4.632599115371704,4,,,-30
note_on,4.633152961730957,4,45,127,
pitchwheel,4.714531898498535,1,,,-14
note_on,4.7148518562316895,1,60,127,
pitchwheel,4.731659889221191,1,,,0
note_off,4.775649070739746,1,60,64,
pitchwheel,4.822201728820801,1,,,43
note_on,4.822542905807495,1,60,127,
pitchwheel,4.862232685089111,0,,,97
note_on,4.862546920776367,0,64,82,
note_off,4.86336088180542,1,60,64,
pitchwheel,4.924458980560303,1,,,-25
note_on,4.924916982650757,1,60,127,
note_off,4.941364049911499,0,64,64,
pitchwheel,4.943541049957275,1,,,0
note_off,4.963688850402832,2,58,64,
pitchwheel,4.965252876281738,2,,,41
note_on,4.965653896331787,2,57,122,
pitchwheel,5.0035529136657715,4,,,64
pitchwheel,5.021763801574707,2,,,0
pitchwheel,5.042568922042847,3,,,78
note_on,5.042981863021851,3,52,127,
pitchwheel,5.059571981430054,4,,,-17
note_off,5.061375856399536,1,60,64,
pitchwheel,5.077892780303955,3,,,-31
pitchwheel,5.08447790145874,1,,,125
note_on,5.0849738121032715,1,60,116,
pitchwheel,5.110280990600586,0,,,-110
note_on,5.1106648445129395,0,65,14,
note_off,5.117558717727661,1,60,64,
pitchwheel,5.118977069854736,1,,,18
note_on,5.1193389892578125,1,60,127,
note_off,5.173586845397949,1,60,64,
pitchwheel,5.20055890083313,1,,,-128
note_on,5.201144695281982,1,61,119,
note_off,5.23360800743103,1,61,64,
pitchwheel,5.235001802444458,1,,,43
note_on,5.2354278564453125,1,60,127,
note_off,5.247450828552246,0,65,64,
pitchwheel,5.270238876342773,0,,,-64
note_on,5.270582675933838,0,64,127,
note_off,5.275545835494995,1,60,64,
pitchwheel,5.2975099086761475,0,,,74
pitchwheel,5.298971891403198,1,,,8
note_on,5.2992730140686035,1,60,127,
pitchwheel,5.317649841308594,1,,,0
note_off,5.337846755981445,2,57,64,
pitchwheel,5.339241981506348,2,,,-15
note_on,5.339595079421997,2,57,127,
note_off,5.369775772094727,2,57,64,
pitchwheel,5.41677188873291,2,,,41
note_on,5.417280912399292,2,57,127,
note_off,5.497833013534546,1,60,64,
pitchwheel,5.498934745788574,1,,,18
note_on,5.499316930770874,1,60,127,
note_off,5.539382696151733,1,60,64,
pitchwheel,5.541639804840088,2,,,0
note_off,5.545383930206299,0,64,64,
pitchwheel,5.572513103485107,1,,,-84
note_on,5.57300877571106,1,60,127,
note_off,5.603565692901611,1,60,64,
pitchwheel,5.605236053466797,1,,,1
note_on,5.6055848598480225,1,60,127,
pitchwheel,5.617624759674072,1,,,0
note_off,5.6855628490448,1,60,64,
pitchwheel,5.686803817749023,1,,,1
note_on,5.6871349811553955,1,60,127,
pitchwheel,5.6900599002838135,0,,,-75
note_on,5.690241813659668,0,60,14,
pitchwheel,5.705655813217163,1,,,0
note_off,5.719848871231079,3,52,64,
pitchwheel,5.723402976989746,0,,,-43
pitchwheel,5.782567977905273,3,,,78
note_on,5.782926797866821,3,52,127,
pitchwheel,5.805717945098877,3,,,-31
note_off,5.8437418937683105,1,60,64,
pitchwheel,5.874508857727051,1,,,-1
note_on,5.874867916107178,1,60,127,
pitchwheel,5.876827955245972,1,,,0
note_off,5.889582872390747,0,60,64,
note_off,5.925527811050415,1,60,64,
pitchwheel,5.954288959503174,1,,,-1
note_on,5.954625844955444,1,60,127,
pitchwheel,5.9563820362091064,1,,,0
note_off,5.991741895675659,2,57,64,
pitchwheel,5.993407964706421,2,,,-15
note_on,5.9937238693237305,2,57,127,
pitchwheel,6.034237861633301,0,,,-7
note_on,6.034538984298706,0,64,127,
note_off,6.035394668579102,1,60,64,
pitchwheel,6.059669017791748,3,,,-385
pitchwheel,6.06660795211792,1,,,74
note_on,6.066945791244507,1,59,127,
pitchwheel,6.067551851272583,2,,,356
pitchwheel,6.099540948867798,3,,,-717
note_off,6.101502895355225,1,59,64,
note_off,6.111675977706909,2,57,64,
note_off,6.123644828796387,3,52,64,
pitchwheel,6.137646913528442,0,,,0
note_off,6.155456066131592,0,64,64,
pitchwheel,6.178468942642212,2,,,118
note_on,6.178793907165527,2,59,127,
pitchwheel,6.207475900650024,2,,,-15
pitchwheel,6.256562948226929,1,,,-15
note_on,6.257053852081299,1,62,127,
pitchwheel,6.26352596282959,1,,,0
note_off,6.3115198612213135,1,62,64,
pitchwheel,6.3765387535095215,1,,,-11
note_on,6.377043008804321,1,62,127,
pitchwheel,6.426461935043335,0,,,-5
note_on,6.426927804946899,0,66,127,
note_off,6.457696914672852,0,66,64,
note_off,6.469588994979858,1,62,64,
pitchwheel,6.470708847045898,1,,,7
note_on,6.470805883407593,1,62,127,
pitchwheel,6.481718063354492,1,,,0
pitchwheel,6.535712957382202,4,,,97
pitchwheel,6.570533752441406,3,,,-31
note_on,6.570646047592163,3,52,127,
pitchwheel,6.571654796600342,4,,,-1
pitchwheel,6.599678993225098,4,,,97
note_off,6.605508804321289,1,62,64,
pitchwheel,6.654449939727783,1,,,7
note_on,6.654937744140625,1,62,127,
note_off,6.685670852661133,1,62,64,
pitchwheel,6.748431921005249,1,,,-4
note_on,6.7489447593688965,1,62,127,
pitchwheel,6.7595648765563965,1,,,0
pitchwheel,6.767529010772705,4,,,-21
pitchwheel,6.799433946609497,1,,,141
note_off,6.811409950256348,1,62,64,
pitchwheel,6.839685916900635,3,,,-638
pitchwheel,6.844355821609497,0,,,-122
note_on,6.844692945480347,0,64,127,
pitchwheel,6.8505189418792725,1,,,30
note_on,6.850900888442993,1,63,127,
note_off,6.859660863876343,2,59,64,
note_off,6.873469829559326,0,64,64,
pitchwheel,6.874281883239746,3,,,-715
pitchwheel,6.8772759437561035,1,,,325
note_off,6.909766912460327,4,45,64,
pitchwheel,6.9475789070129395,5,,,40
pitchwheel,6.962640762329102,4,,,-14
note_on,6.963021755218506,4,45,127,
note_off,6.979573965072632,1,63,64,
pitchwheel,6.980428695678711,5,,,-33
pitchwheel,7.034639835357666,1,,,-7
note_on,7.035127878189087,1,64,127,
pitchwheel,7.037572860717773,0,,,-108
note_on,7.0380048751831055,0,64,14,
pitchwheel,7.117537021636963,0,,,12
note_off,7.117656707763672,1,64,64,
pitchwheel,7.168537855148315,1,,,-34
note_on,7.169181823730469,1,64,127,
note_off,7.181412935256958,0,64,64,
note_off,7.207612991333008,1,64,64,
pitchwheel,7.216418743133545,0,,,-44
note_on,7.216449022293091,0,68,127,
pitchwheel,7.223617792129517,3,,,-288
pitchwheel,7.23251485824585,1,,,-7
note_on,7.233011960983276,1,64,127,
pitchwheel,7.2344970703125,2,,,18
note_on,7.2348737716674805,2,60,127,
note_off,7.235619783401489,3,52,64,
note_off,7.253705024719238,0,68,64,
pitchwheel,7.301630973815918,1,,,0
pitchwheel,7.307788848876953,4,,,0
pitchwheel,7.380708932876587,3,,,-31
note_on,7.381290912628174,3,52,127,
note_off,7.425689935684204,1,64,64,
pitchwheel,7.472617864608765,1,,,-7
note_on,7.473102807998657,1,64,127,
pitchwheel,7.4856719970703125,1,,,0
note_off,7.511497974395752,1,64,64,
